datarate,PCell_Downlink_TB_Size,SCell_Downlink_TB_Size,PCell_SNR_1,PCell_SNR_2,SCell_SNR_1,SCell_SNR_2,PCell_RSSI_1,PCell_RSSI_2,PCell_RSSI_max,PCell_RSRP_1,PCell_RSRP_2,PCell_RSRP_max,PCell_Downlink_Average_MCS,SCell_Downlink_Average_MCS,PCell_Downlink_Num_RBs,SCell_Downlink_Num_RBs,date
21500000.0,831934.0,2033082.0,-1.8570000033080578,10.347000036984682,5.794000034332275,11.694000005722046,-61.84875,-64.705,-64.705,-100.36875,-100.079375,-99.559375,16.0,19.0,23424.0,45856.0,96
19200000.0,1246222.0,1904917.0,-2.3869999907910824,9.661000014096498,4.724999985694885,10.913999967575073,-61.785,-63.99125,-63.99125,-100.755,-99.893125,-99.470625,15.0,18.0,36634.0,46864.0,97
21700000.0,559152.0,2053413.0,-1.938000002577901,7.9080000478029255,5.529000000953674,10.804999966621398,-62.096875,-66.57125,-66.57125,-100.3725,-101.92875,-100.106875,13.0,16.0,20912.0,47000.0,98
16800000.0,729175.0,1545749.0,-2.749000003859401,6.883000029325485,4.194999984502792,8.714000010490418,-62.664375,-66.139375,-66.139375,-101.394375,-101.655,-101.018125,13.0,13.0,25704.0,44226.0,99
17800000.0,929941.0,1845741.0,-3.960000001192093,9.444000037908554,5.609999995231629,8.322000007629395,-63.005,-65.973125,-65.973125,-102.285625,-101.345,-101.166875,16.0,13.0,25268.0,48904.0,100
22200000.0,795039.0,2247605.0,-3.8530000030994414,8.86900001525879,5.336000022888183,10.30199999809265,-63.134375,-65.91875,-65.91875,-102.13125,-101.415625,-101.0375,16.0,13.0,22065.0,48688.0,101
18800000.0,1228110.0,1889767.0,-3.7419999957084658,8.431999990940094,3.391999999284744,11.224999961853028,-63.046875,-66.67625,-66.67625,-102.24875,-102.08375,-101.891875,15.0,17.0,37573.0,45026.0,102
22200000.0,1138574.0,1644190.0,-3.858000011444092,6.43100002169609,2.98899999499321,9.432000031471253,-62.7125,-66.24625,-66.24625,-101.9275,-102.55375,-101.903125,15.0,17.0,35448.0,44022.0,103
18400000.0,1110410.0,1640197.0,-3.5769999980926515,6.926000018119812,3.2490000027418136,8.985000052452087,-62.46125,-65.936875,-65.936875,-101.5625,-102.1675,-101.47875,15.0,16.0,33257.0,44752.0,104
19200000.0,1012350.0,1700176.0,-3.867999997138977,6.204999991059303,4.683999996185303,9.056000027656555,-62.65625,-65.876875,-65.876875,-101.81375,-101.998125,-101.6225,15.0,12.0,30524.0,42044.0,105
21400000.0,1300961.0,1818868.0,-4.71400000333786,6.421000003814697,4.676999995708465,10.593000030517578,-62.716875,-65.399375,-65.399375,-102.34,-101.656875,-101.593125,15.0,17.0,39005.0,42240.0,106
15600000.0,603750.0,979339.0,-3.4969999957084656,6.042999990582466,3.568999996185303,9.134999971389771,-62.699375,-65.888125,-65.888125,-101.500625,-101.62125,-101.25875,14.0,16.0,19178.0,26407.0,107
11800000.0,655868.0,1175493.0,-2.4179999965429304,5.920000009536743,3.102999995350838,8.636999950408935,-62.173125,-65.06125,-65.06125,-100.57625,-100.971875,-100.32375,15.0,17.0,19657.0,30962.0,108
13200000.0,591253.0,1462876.0,-3.267000011205673,5.4809999704360965,3.4619999969005586,11.351000018119812,-62.778125,-67.109375,-67.109375,-101.25875,-102.738125,-101.216875,14.0,16.0,21078.0,33936.0,109
14100000.0,631799.0,1330042.0,-2.9699999856948853,7.000000020414591,3.8409999990463257,10.62700002193451,-62.188125,-66.886875,-66.886875,-100.798125,-102.59,-100.788125,14.0,18.0,22692.0,31864.0,110
12300000.0,840446.0,924343.0,-3.2339999985694887,8.37300000667572,3.8439999842643737,9.184000015258789,-62.63375,-65.87375,-65.87375,-101.341875,-101.528125,-100.721875,15.0,15.0,25599.0,24796.0,111
13500000.0,706191.0,1319248.0,-2.960999996960163,5.1420000132918355,3.2419999957084658,9.804000005722045,-61.985625,-64.589375,-64.589375,-100.694375,-101.024375,-100.418125,12.0,14.0,30272.0,36468.0,112
15100000.0,696394.0,1594431.0,-4.152999987602234,-0.6029999995976687,4.006000011563301,9.797000007629395,-61.19125,-62.866875,-62.866875,-100.256875,-100.25375,-99.885625,11.0,14.0,29863.0,40332.0,113
